ShapeSize,#input,#output,#op,RealNdpxCost
110592,1,1,1,5278
110592,1,1,1,5278
184320,1,1,1,8591
307200,1,1,1,14114
307200,1,1,1,14112
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
614400,1,1,1,27911
819200,1,1,1,37112
819200,1,1,1,37112
614400,1,1,1,27911
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
184320,1,1,1,8591
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5279
110592,1,1,1,5278
110592,1,1,1,5279
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
9216,1,1,1,725
6912,1,1,1,619
9216,1,1,1,725
6912,1,1,1,621
6144,1,1,1,571
3072,1,1,1,449
1024,1,1,1,340
819200,7,3,14,132183
49152,19,12,53,30972
110592,19,12,53,70641
73728,7,3,14,11770
110592,15,9,40,53125
165888,15,9,40,79716
110592,11,6,27,35295
184320,7,3,14,29630
307200,15,9,40,149004
276480,15,9,40,133498
307200,11,6,27,98883
614400,7,3,14,98855
3072,7,3,14,799
27648,7,3,14,4320
6144,7,3,14,1137
6912,11,6,27,2172
41472,11,6,27,13184
9216,7,3,14,1551
9216,7,3,14,1551
12288,15,9,40,5368
55296,15,9,40,26249
12288,11,6,27,3749
24576,7,3,14,3854
49152,15,9,40,23239
1728,7,3,14,692
9216,7,3,14,1551
1024,7,3,14,654
32,1,1,1,335
32,1,1,1,335
2580480,1,1,1,117685
313600,2,1,1,14407
313600,2,1,1,16548
752640,2,1,1,37618
752640,2,1,1,38759
501760,2,1,1,22870
501760,2,1,1,26808
501760,2,1,1,26645
1003520,2,1,1,45411
1003520,2,1,1,45421
4014080,2,1,1,216431
32,3,1,8,388
32,4,1,9,536
40320,2,1,4,4951
40320,7,4,10,12130
2580480,10,3,15,417997
32,29,8,42,1261
16056320,14,1,37,2263185
16056320,7,2,23,4643100
16056320,14,1,37,2160445
16056320,7,2,23,4481738
8028160,12,1,21,815373
8028160,5,2,7,2024639
768,84,23,122,3104
128,85,22,129,2802
384,64,19,94,2545
64,38,11,54,1672
384,85,22,129,2986
64,85,22,129,2924
288,85,22,129,3066
64,55,16,82,1951
12042240,14,1,37,1717396
12042240,7,2,23,3510691
4014080,12,1,21,483016
4014080,5,2,7,1027805
18063360,14,1,37,2818698
18063360,7,2,23,5045196
18063360,14,1,37,2923695
18063360,7,2,23,5136181
4014080,12,1,21,536822
4014080,5,2,7,1042485
4515840,14,1,37,665286
4515840,7,2,23,1277736
1003520,12,1,21,140148
1003520,5,2,7,259263
6021120,14,1,37,1060215
6021120,7,2,23,1755428
6021120,14,1,37,1357508
6021120,7,2,23,1764747
1003520,12,1,21,124019
1003520,5,2,7,252370
6021120,14,1,37,922709
6021120,7,2,23,1673851
6021120,14,1,37,1210508
6021120,7,2,23,1842283
1003520,12,1,21,143515
1003520,5,2,7,254377
1505280,14,1,37,188465
1505280,7,2,23,415589
501760,12,1,21,51000
501760,5,2,7,126489
3010560,14,1,37,424249
3010560,7,2,23,861275
3010560,14,1,37,445359
3010560,7,2,23,844188
501760,12,1,21,65997
501760,5,2,7,126529
3010560,14,1,37,444379
3010560,7,2,23,871787
3010560,14,1,37,421599
3010560,7,2,23,838773
501760,12,1,21,55809
501760,5,2,7,127384
3010560,14,1,37,402572
3010560,7,2,23,839542
3010560,14,1,37,421195
3010560,7,2,23,843593
501760,12,1,21,56149
501760,5,2,7,127346
640,29,8,42,1253
1920,64,19,94,2451
1920,85,22,129,3262
320,81,24,122,2660
1152,64,19,94,2413
192,38,11,54,1320
1152,85,22,129,3203
192,85,22,129,2950
768,29,8,42,1140
768,85,22,129,2792
3010560,14,1,37,452260
3010560,7,2,23,838598
3010560,14,1,37,424678
3010560,7,2,23,824657
752640,12,1,21,110341
752640,5,2,7,193854
4515840,14,1,37,676171
4515840,7,2,23,1274266
4515840,14,1,37,683554
4515840,7,2,23,1228334
752640,12,1,21,87049
752640,5,2,7,190316
4515840,14,1,37,759937
4515840,7,2,23,1272877
4515840,14,1,37,641426
4515840,7,2,23,1279108
752640,12,1,21,106253
752640,5,2,7,201684
1128960,14,1,37,138723
1128960,7,2,23,306500
313600,12,1,21,34243
313600,5,2,7,78851
1881600,14,1,37,288650
1881600,7,2,23,526046
1881600,14,1,37,319215
1881600,7,2,23,523995
313600,12,1,21,37938
313600,5,2,7,80351
1881600,14,1,37,287250
1881600,7,2,23,542285
1881600,14,1,37,294383
1881600,7,2,23,535100
313600,12,1,21,37832
313600,5,2,7,79066
1881600,14,1,37,320971
1881600,7,2,23,546623
1881600,14,1,37,256333
1881600,7,2,23,520852
627200,12,1,21,85761
627200,5,2,7,160306
2560,29,8,42,1503
40320,3,1,4,5384
2508800,4,2,4,613885
627200,7,1,12,40553
627200,4,2,4,153897
1881600,4,2,4,460639
17280,1,1,1,1089
1881600,4,2,4,475746
313600,8,1,13,21531
313600,4,2,4,76985
1881600,4,2,4,460173
17280,1,1,1,1089
1881600,4,2,4,476192
313600,8,1,13,24945
313600,4,2,4,77027
1881600,4,2,4,460725
17280,1,1,1,1089
1881600,4,2,4,460325
313600,7,1,12,18523
313600,4,2,4,76985
1128960,4,2,4,276775
10368,1,1,1,780
4515840,4,2,4,1106270
752640,8,1,13,52228
752640,4,2,4,184161
4515840,4,2,4,1106373
10368,1,1,1,780
4515840,4,2,4,1106687
752640,8,1,13,57006
752640,4,2,4,184257
4515840,4,2,4,1121388
10368,1,1,1,780
4515840,4,2,4,1139317
752640,7,1,12,48739
752640,4,2,4,184216
3010560,4,2,4,737774
6912,1,1,1,621
3010560,4,2,4,767344
501760,8,1,13,32056
501760,4,2,4,123075
3010560,4,2,4,763949
6912,1,1,1,621
3010560,4,2,4,758983
501760,8,1,13,34312
501760,4,2,4,122979
3010560,4,2,4,755831
6912,1,1,1,621
3010560,4,2,4,737394
501760,8,1,13,36644
501760,4,2,4,122718
3010560,4,2,4,736680
6912,1,1,1,621
