ShapeSize,#input,#output,#op,RealNdpxCost
1572864,2,1,11,82834
12582912,4,1,15,735601
12582912,5,1,16,787778
6291456,4,1,15,360016
6291456,4,1,15,359575
6291456,4,1,15,359991
6291456,4,1,15,364653
6291456,4,1,15,358721
6291456,4,1,15,359354
6291456,4,1,15,359309
6291456,4,1,15,360696
6291456,4,1,15,361542
6291456,11,1,26,800721
12582912,5,1,16,808763
1572864,2,1,11,83509
12582912,5,1,16,857811
12582912,4,1,15,721949
1572864,2,1,1,195037
1572864,2,1,1,195192
1572864,2,1,1,195151
1572864,2,1,1,194948
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1572864,2,1,1,195372
1572864,5,1,17,243337
4718592,37,12,54,3091390
1572864,2,1,1,195020
1179648,1,1,1,53304
1572864,2,1,1,195132
1572864,2,1,1,195255
1179648,1,1,1,53304
1572864,2,1,1,195244
1572864,2,1,1,195310
1572864,2,1,1,195193
1572864,2,1,1,195429
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53305
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53305
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53319
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1572864,2,1,1,194858
1572864,2,1,1,195020
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
4718592,37,12,54,3081581
1179648,1,1,1,53309
1179648,1,1,1,53303
1179648,1,1,1,53304
1179648,1,1,1,53304
233472,6,1,11,14430
9280512,3,1,4,1222008
1572864,2,1,2,196221
4718592,1,1,1,224272
4718592,1,1,1,225137
